Processed,ID,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body,Highest Alert,Note,Tags
Processed,165,Thu Oct 16 17:10:50 CEST 2025,GET,http://localhost:8888/,200,OK,6,304,6892,Medium,false,"Script, SetCookie, Comment"
Processed,166,Thu Oct 16 17:10:50 CEST 2025,GET,http://localhost:8888/js/skel-layers.min.js,200,OK,6,264,19718,Low,false,Comment
Processed,167,Thu Oct 16 17:10:50 CEST 2025,GET,http://localhost:8888/js/skel.min.js,200,OK,8,264,23766,Low,false,Comment
Processed,168,Thu Oct 16 17:10:50 CEST 2025,GET,http://localhost:8888/js/jquery.min.js,200,OK,14,265,95786,Medium,false,Comment
Processed,169,Thu Oct 16 17:10:50 CEST 2025,GET,http://localhost:8888/js/init.js,200,OK,13,262,1845,Low,false,Comment
Processed,170,Thu Oct 16 17:10:50 CEST 2025,GET,http://localhost:8888/images/PRISM_logo.png,200,OK,14,250,97672,Low,false,Comment
Processed,171,Thu Oct 16 17:10:50 CEST 2025,GET,http://localhost:8888/images/nsa_prism.jpg,200,OK,33,252,182191,Low,false,Comment
Processed,172,Thu Oct 16 17:10:50 CEST 2025,GET,http://localhost:8888/css/style-xlarge.css,200,OK,19,244,216,Low,false,Comment
Processed,173,Thu Oct 16 17:10:50 CEST 2025,GET,http://localhost:8888/css/style.css,200,OK,19,248,20997,Low,false,"Password, Comment"
Out of Scope,174,Thu Oct 16 17:10:50 CEST 2025,GET,"http://fonts.googleapis.com/css?family=Raleway:400,700",403,Forbidden,0,130,40,,false,
Out of Scope,175,Thu Oct 16 17:10:50 CEST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=partitioning-exempt-urls&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Processed,176,Thu Oct 16 17:10:50 CEST 2025,GET,http://localhost:8888/images/nsa.png,200,OK,43,251,133243,Low,false,Comment
Processed,177,Thu Oct 16 17:10:50 CEST 2025,GET,http://localhost:8888/images/04_Playstation.jpg,200,OK,43,252,277336,Low,false,Comment
Processed,178,Thu Oct 16 17:10:50 CEST 2025,GET,http://localhost:8888/css/font-awesome.min.css,200,OK,6,248,23739,Low,false,Comment
Processed,179,Thu Oct 16 17:10:50 CEST 2025,GET,http://localhost:8888/images/05_Lounge.jpg,200,OK,57,252,469013,Low,false,Comment
Processed,180,Thu Oct 16 17:10:50 CEST 2025,GET,http://localhost:8888/css/images/overlay.png,200,OK,2,245,113,Low,false,
Processed,182,Thu Oct 16 17:10:50 CEST 2025,GET,http://localhost:8888/fonts/fontawesome-webfont.woff2?v=4.3.0,200,OK,40,264,56780,Low,false,
Processed,184,Thu Oct 16 17:10:50 CEST 2025,GET,http://localhost:8888/images/banner.jpg,200,OK,133,252,511270,Low,false,Comment
Processed,185,Thu Oct 16 17:10:50 CEST 2025,GET,http://localhost:8888/favicon.ico,200,OK,4,250,1406,Low,false,
Processed,186,Thu Oct 16 17:10:52 CEST 2025,GET,http://localhost:8888/,200,OK,5,194,6892,Medium,false,"Script, Comment"
Out of Scope,187,Thu Oct 16 17:10:52 CEST 2025,GET,"http://fonts.googleapis.com/css?family=Raleway:400,700",403,Forbidden,0,130,40,,false,
Out of Scope,188,Thu Oct 16 17:10:53 CEST 2025,GET,https://firefox.settings.services.mozilla.com/v1/,403,Forbidden,0,130,40,,false,
Out of Scope,189,Thu Oct 16 17:10:53 CEST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=remote-permissions&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,190,Thu Oct 16 17:10:53 CEST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=query-stripping&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,191,Thu Oct 16 17:10:53 CEST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=fingerprinting-protection-overrides&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,192,Thu Oct 16 17:10:53 CEST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=third-party-cookie-blocking-exempt-urls&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,193,Thu Oct 16 17:10:53 CEST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=nimbus-desktop-experiments&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,194,Thu Oct 16 17:10:53 CEST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=nimbus-secure-experiments&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,195,Thu Oct 16 17:10:53 CEST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=tracking-protection-lists&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,196,Thu Oct 16 17:10:53 CEST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=search-categorization&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Processed,197,Thu Oct 16 17:10:54 CEST 2025,GET,http://localhost:8888/index.php,200,OK,12,194,6892,Medium,false,"Script, Comment"
Out of Scope,198,Thu Oct 16 17:10:54 CEST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=url-classifier-exceptions&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,199,Thu Oct 16 17:10:54 CEST 2025,GET,"http://fonts.googleapis.com/css?family=Raleway:400,700",403,Forbidden,0,130,40,,false,
Processed,200,Thu Oct 16 17:10:54 CEST 2025,GET,http://localhost:8888/,200,OK,59,304,6892,Medium,false,"Script, SetCookie, Comment"
Processed,201,Thu Oct 16 17:10:54 CEST 2025,GET,http://localhost:8888/js/init.js,200,OK,27,262,1845,Low,false,Comment
Processed,202,Thu Oct 16 17:10:54 CEST 2025,GET,http://localhost:8888/js/skel.min.js,200,OK,29,264,23766,Low,false,Comment
Processed,203,Thu Oct 16 17:10:54 CEST 2025,GET,http://localhost:8888/js/skel-layers.min.js,200,OK,57,264,19718,Low,false,Comment
Processed,204,Thu Oct 16 17:10:54 CEST 2025,GET,http://localhost:8888/js/jquery.min.js,200,OK,85,265,95786,Medium,false,Comment
Processed,205,Thu Oct 16 17:10:54 CEST 2025,GET,http://localhost:8888/images/PRISM_logo.png,200,OK,61,250,97672,Low,false,Comment
Processed,206,Thu Oct 16 17:10:54 CEST 2025,GET,http://localhost:8888/css/style.css,200,OK,32,248,20997,Low,false,"Password, Comment"
Out of Scope,207,Thu Oct 16 17:10:54 CEST 2025,GET,"http://fonts.googleapis.com/css?family=Raleway:400,700",403,Forbidden,0,130,40,,false,
Processed,208,Thu Oct 16 17:10:54 CEST 2025,GET,http://localhost:8888/images/04_Playstation.jpg,200,OK,116,252,277336,Low,false,Comment
Processed,209,Thu Oct 16 17:10:54 CEST 2025,GET,http://localhost:8888/images/nsa.png,200,OK,109,251,133243,Low,false,Comment
Processed,210,Thu Oct 16 17:10:54 CEST 2025,GET,http://localhost:8888/css/style-xlarge.css,200,OK,52,244,216,Low,false,Comment
Processed,211,Thu Oct 16 17:10:54 CEST 2025,GET,http://localhost:8888/images/nsa_prism.jpg,200,OK,133,252,182191,Low,false,Comment
Processed,212,Thu Oct 16 17:10:54 CEST 2025,GET,http://localhost:8888/css/font-awesome.min.css,200,OK,31,248,23739,Low,false,Comment
Out of Scope,213,Thu Oct 16 17:10:54 CEST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=partitioning-exempt-urls&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Processed,214,Thu Oct 16 17:10:54 CEST 2025,GET,http://localhost:8888/css/images/overlay.png,200,OK,14,245,113,Low,false,
Processed,215,Thu Oct 16 17:10:54 CEST 2025,GET,http://localhost:8888/images/05_Lounge.jpg,200,OK,176,252,469013,Low,false,Comment
Processed,216,Thu Oct 16 17:10:55 CEST 2025,GET,http://localhost:8888/fonts/fontawesome-webfont.woff2?v=4.3.0,200,OK,9,264,56780,Low,false,
Processed,217,Thu Oct 16 17:10:54 CEST 2025,GET,http://localhost:8888/images/banner.jpg,200,OK,51,252,511270,Low,false,Comment
Processed,218,Thu Oct 16 17:10:55 CEST 2025,GET,http://localhost:8888/favicon.ico,200,OK,3,250,1406,Low,false,
Out of Scope,219,Thu Oct 16 17:10:55 CEST 2025,GET,https://firefox.settings.services.mozilla.com/v1/,403,Forbidden,0,130,40,,false,
Out of Scope,220,Thu Oct 16 17:10:55 CEST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=remote-permissions&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,221,Thu Oct 16 17:10:55 CEST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=query-stripping&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,222,Thu Oct 16 17:10:55 CEST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=fingerprinting-protection-overrides&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Processed,223,Thu Oct 16 17:10:55 CEST 2025,GET,http://localhost:8888/index.php?page=survey,200,OK,6,194,5912,Medium,false,"Form, Hidden, Script, Comment"
Out of Scope,224,Thu Oct 16 17:10:55 CEST 2025,GET,http://10.0.2.15/images/42.jpeg,403,Forbidden,0,130,40,,false,
Out of Scope,225,Thu Oct 16 17:10:55 CEST 2025,GET,http://10.0.2.15/images/42.jpeg,403,Forbidden,0,130,40,,false,
Out of Scope,226,Thu Oct 16 17:10:55 CEST 2025,GET,"http://fonts.googleapis.com/css?family=Raleway:400,700",403,Forbidden,0,130,40,,false,
Out of Scope,227,Thu Oct 16 17:10:55 CEST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=third-party-cookie-blocking-exempt-urls&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,228,Thu Oct 16 17:10:55 CEST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=nimbus-desktop-experiments&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,229,Thu Oct 16 17:10:55 CEST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=nimbus-secure-experiments&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,230,Thu Oct 16 17:10:55 CEST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=tracking-protection-lists&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,231,Thu Oct 16 17:10:55 CEST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=search-categorization&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,232,Thu Oct 16 17:10:56 CEST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=url-classifier-exceptions&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Processed,233,Thu Oct 16 17:10:56 CEST 2025,GET,http://localhost:8888/?page=member,200,OK,9,194,2452,Medium,false,"Form, Hidden, Script, Comment"
Out of Scope,234,Thu Oct 16 17:10:56 CEST 2025,GET,http://10.0.2.15/images/42.jpeg,403,Forbidden,0,130,40,,false,
Processed,235,Thu Oct 16 17:10:56 CEST 2025,GET,http://localhost:8888/images/search_img.png,200,OK,9,249,17185,Low,false,
Processed,236,Thu Oct 16 17:10:56 CEST 2025,GET,http://localhost:8888/,200,OK,13,304,6892,Medium,false,"Script, SetCookie, Comment"
Out of Scope,237,Thu Oct 16 17:10:56 CEST 2025,GET,http://10.0.2.15/images/42.jpeg,403,Forbidden,0,130,40,,false,
Out of Scope,238,Thu Oct 16 17:10:56 CEST 2025,GET,"http://fonts.googleapis.com/css?family=Raleway:400,700",403,Forbidden,0,130,40,,false,
Processed,239,Thu Oct 16 17:10:56 CEST 2025,GET,http://localhost:8888/js/init.js,200,OK,5,262,1845,Low,false,Comment
Processed,240,Thu Oct 16 17:10:56 CEST 2025,GET,http://localhost:8888/js/skel.min.js,200,OK,11,264,23766,Low,false,Comment
Processed,241,Thu Oct 16 17:10:56 CEST 2025,GET,http://localhost:8888/js/jquery.min.js,200,OK,15,265,95786,Medium,false,Comment
Processed,242,Thu Oct 16 17:10:56 CEST 2025,GET,http://localhost:8888/js/skel-layers.min.js,200,OK,13,264,19718,Low,false,Comment
Processed,243,Thu Oct 16 17:10:56 CEST 2025,GET,http://localhost:8888/images/PRISM_logo.png,200,OK,38,250,97672,Low,false,Comment
Processed,244,Thu Oct 16 17:10:56 CEST 2025,GET,http://localhost:8888/images/nsa_prism.jpg,200,OK,40,252,182191,Low,false,Comment
Processed,245,Thu Oct 16 17:10:56 CEST 2025,GET,http://localhost:8888/images/04_Playstation.jpg,200,OK,45,252,277336,Low,false,Comment
Processed,246,Thu Oct 16 17:10:56 CEST 2025,GET,http://localhost:8888/images/nsa.png,200,OK,55,251,133243,Low,false,Comment
Processed,247,Thu Oct 16 17:10:56 CEST 2025,GET,http://localhost:8888/css/style-xlarge.css,200,OK,23,244,216,Low,false,Comment
Processed,248,Thu Oct 16 17:10:56 CEST 2025,GET,http://localhost:8888/css/style.css,200,OK,25,248,20997,Low,false,"Password, Comment"
Out of Scope,249,Thu Oct 16 17:10:56 CEST 2025,GET,"http://fonts.googleapis.com/css?family=Raleway:400,700",403,Forbidden,0,130,40,,false,
Processed,250,Thu Oct 16 17:10:56 CEST 2025,GET,http://localhost:8888/images/05_Lounge.jpg,200,OK,72,252,469013,Low,false,Comment
Processed,251,Thu Oct 16 17:10:56 CEST 2025,GET,http://localhost:8888/css/font-awesome.min.css,200,OK,11,248,23739,Low,false,Comment
Out of Scope,252,Thu Oct 16 17:10:56 CEST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=partitioning-exempt-urls&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Processed,253,Thu Oct 16 17:10:56 CEST 2025,GET,http://localhost:8888/favicon.ico,200,OK,8,250,1406,Low,false,
Processed,254,Thu Oct 16 17:10:56 CEST 2025,GET,http://localhost:8888/css/images/overlay.png,200,OK,33,245,113,Low,false,
Processed,255,Thu Oct 16 17:10:56 CEST 2025,GET,http://localhost:8888/fonts/fontawesome-webfont.woff2?v=4.3.0,200,OK,36,264,56780,Low,false,
Processed,256,Thu Oct 16 17:10:56 CEST 2025,GET,http://localhost:8888/images/banner.jpg,200,OK,69,252,511270,Low,false,Comment
Processed,257,Thu Oct 16 17:10:57 CEST 2025,POST,http://localhost:8888/index.php?page=survey,200,OK,68,194,5912,Medium,false,"Form, Hidden, Script, Comment"
Out of Scope,258,Thu Oct 16 17:10:57 CEST 2025,GET,http://10.0.2.15/images/42.jpeg,403,Forbidden,0,130,40,,false,
Out of Scope,259,Thu Oct 16 17:10:57 CEST 2025,GET,"http://fonts.googleapis.com/css?family=Raleway:400,700",403,Forbidden,0,130,40,,false,
Out of Scope,260,Thu Oct 16 17:10:57 CEST 2025,GET,https://firefox.settings.services.mozilla.com/v1/,403,Forbidden,0,130,40,,false,
Out of Scope,261,Thu Oct 16 17:10:57 CEST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=remote-permissions&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,262,Thu Oct 16 17:10:57 CEST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=query-stripping&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,263,Thu Oct 16 17:10:57 CEST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=fingerprinting-protection-overrides&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,264,Thu Oct 16 17:10:57 CEST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=third-party-cookie-blocking-exempt-urls&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,265,Thu Oct 16 17:10:57 CEST 2025,GET,http://10.0.2.15/,403,Forbidden,0,130,40,,false,
Out of Scope,266,Thu Oct 16 17:10:57 CEST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=nimbus-desktop-experiments&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,267,Thu Oct 16 17:10:57 CEST 2025,GET,http://10.0.2.15/favicon.ico,403,Forbidden,0,130,40,,false,
Out of Scope,268,Thu Oct 16 17:10:57 CEST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=nimbus-secure-experiments&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,269,Thu Oct 16 17:10:57 CEST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=tracking-protection-lists&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,270,Thu Oct 16 17:10:57 CEST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=search-categorization&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Processed,271,Thu Oct 16 17:10:57 CEST 2025,GET,http://localhost:8888/?page=signin,200,OK,4,194,3006,Medium,false,"Form, Password, Hidden, Script, Comment"
Out of Scope,272,Thu Oct 16 17:10:57 CEST 2025,GET,http://10.0.2.15/images/42.jpeg,403,Forbidden,0,130,40,,false,
Processed,273,Thu Oct 16 17:10:57 CEST 2025,GET,http://localhost:8888/images/marvin.jpg,200,OK,8,252,111300,Low,false,
Out of Scope,274,Thu Oct 16 17:10:58 CEST 2025,GET,http://10.0.2.15/images/42.jpeg,403,Forbidden,0,130,40,,false,
Out of Scope,275,Thu Oct 16 17:10:58 CEST 2025,GET,"http://fonts.googleapis.com/css?family=Raleway:400,700",403,Forbidden,0,130,40,,false,
Out of Scope,276,Thu Oct 16 17:10:58 CEST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=url-classifier-exceptions&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Processed,277,Thu Oct 16 17:10:58 CEST 2025,GET,http://localhost:8888/,200,OK,19,194,6892,Medium,false,"Script, Comment"
Processed,278,Thu Oct 16 17:10:58 CEST 2025,GET,http://localhost:8888/,200,OK,19,304,6892,Medium,false,"Script, SetCookie, Comment"
Out of Scope,279,Thu Oct 16 17:10:58 CEST 2025,GET,"http://fonts.googleapis.com/css?family=Raleway:400,700",403,Forbidden,0,130,40,,false,
Processed,280,Thu Oct 16 17:10:58 CEST 2025,GET,http://localhost:8888/js/skel-layers.min.js,200,OK,20,264,19718,Low,false,Comment
Processed,281,Thu Oct 16 17:10:58 CEST 2025,GET,http://localhost:8888/js/skel.min.js,200,OK,28,264,23766,Low,false,Comment
Processed,282,Thu Oct 16 17:10:58 CEST 2025,GET,http://localhost:8888/js/jquery.min.js,200,OK,27,265,95786,Medium,false,Comment
Processed,283,Thu Oct 16 17:10:58 CEST 2025,GET,http://localhost:8888/js/init.js,200,OK,45,262,1845,Low,false,Comment
Processed,284,Thu Oct 16 17:10:58 CEST 2025,GET,http://localhost:8888/images/04_Playstation.jpg,200,OK,188,252,277336,Low,false,Comment
Processed,285,Thu Oct 16 17:10:58 CEST 2025,GET,http://localhost:8888/,200,OK,122,194,6892,Medium,false,"Script, Comment"
Processed,286,Thu Oct 16 17:10:58 CEST 2025,GET,http://localhost:8888/css/style-xlarge.css,200,OK,107,244,216,Low,false,Comment
Processed,287,Thu Oct 16 17:10:58 CEST 2025,GET,http://localhost:8888/images/nsa.png,200,OK,211,251,133243,Low,false,Comment
Processed,288,Thu Oct 16 17:10:58 CEST 2025,GET,http://localhost:8888/css/style.css,200,OK,120,248,20997,Low,false,"Password, Comment"
Processed,289,Thu Oct 16 17:10:58 CEST 2025,GET,http://localhost:8888/images/PRISM_logo.png,200,OK,265,250,97672,Low,false,Comment
Out of Scope,290,Thu Oct 16 17:10:59 CEST 2025,GET,"http://fonts.googleapis.com/css?family=Raleway:400,700",403,Forbidden,0,130,40,,false,
Processed,291,Thu Oct 16 17:10:58 CEST 2025,GET,http://localhost:8888/images/nsa_prism.jpg,200,OK,297,252,182191,Low,false,Comment
Out of Scope,292,Thu Oct 16 17:10:59 CEST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=partitioning-exempt-urls&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Processed,293,Thu Oct 16 17:10:58 CEST 2025,GET,http://localhost:8888/images/05_Lounge.jpg,200,OK,354,252,469013,Low,false,Comment
Processed,294,Thu Oct 16 17:10:59 CEST 2025,GET,http://localhost:8888/css/font-awesome.min.css,200,OK,72,248,23739,Low,false,Comment
Processed,295,Thu Oct 16 17:10:59 CEST 2025,GET,http://localhost:8888/css/images/overlay.png,200,OK,6,245,113,Low,false,
Processed,296,Thu Oct 16 17:10:59 CEST 2025,GET,http://localhost:8888/images/banner.jpg,200,OK,61,252,511270,Low,false,Comment
Processed,297,Thu Oct 16 17:10:59 CEST 2025,GET,http://localhost:8888/fonts/fontawesome-webfont.woff2?v=4.3.0,200,OK,24,264,56780,Low,false,
Out of Scope,298,Thu Oct 16 17:10:59 CEST 2025,GET,"http://fonts.googleapis.com/css?family=Raleway:400,700",403,Forbidden,0,130,40,,false,
Processed,299,Thu Oct 16 17:10:59 CEST 2025,GET,http://localhost:8888/favicon.ico,200,OK,5,250,1406,Low,false,
Processed,300,Thu Oct 16 17:10:59 CEST 2025,GET,http://localhost:8888/?page=media&src=nsa,200,OK,9,194,2234,Medium,false,"Object, Script, Comment"
Out of Scope,301,Thu Oct 16 17:10:59 CEST 2025,GET,http://10.0.2.15/,403,Forbidden,0,130,40,,false,
Out of Scope,302,Thu Oct 16 17:10:59 CEST 2025,GET,http://10.0.2.15/images/42.jpeg,403,Forbidden,0,130,40,,false,
Out of Scope,303,Thu Oct 16 17:10:59 CEST 2025,GET,http://10.0.2.15/favicon.ico,403,Forbidden,0,130,40,,false,
Out of Scope,304,Thu Oct 16 17:10:59 CEST 2025,GET,http://10.0.2.15/images/42.jpeg,403,Forbidden,0,130,40,,false,
Out of Scope,305,Thu Oct 16 17:10:59 CEST 2025,GET,http://10.0.2.15/images/nsa_prism.jpg,403,Forbidden,0,130,40,,false,
Out of Scope,306,Thu Oct 16 17:10:59 CEST 2025,GET,"http://fonts.googleapis.com/css?family=Raleway:400,700",403,Forbidden,0,130,40,,false,
Out of Scope,307,Thu Oct 16 17:10:59 CEST 2025,GET,https://firefox.settings.services.mozilla.com/v1/,403,Forbidden,0,130,40,,false,
Out of Scope,308,Thu Oct 16 17:11:00 CEST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=remote-permissions&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,309,Thu Oct 16 17:11:00 CEST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=fingerprinting-protection-overrides&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,310,Thu Oct 16 17:11:00 CEST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=query-stripping&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,311,Thu Oct 16 17:11:00 CEST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=third-party-cookie-blocking-exempt-urls&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,312,Thu Oct 16 17:11:00 CEST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=nimbus-desktop-experiments&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,313,Thu Oct 16 17:11:00 CEST 2025,GET,https://en.wikipedia.org/wiki/PRISM_(surveillance_program),403,Forbidden,0,130,40,,false,
Processed,314,Thu Oct 16 17:11:00 CEST 2025,GET,http://localhost:8888/?page=member,200,OK,25,194,2452,Medium,false,"Form, Hidden, Script, Comment"
Out of Scope,315,Thu Oct 16 17:11:00 CEST 2025,GET,https://en.wikipedia.org/favicon.ico,403,Forbidden,0,130,40,,false,
Out of Scope,316,Thu Oct 16 17:11:00 CEST 2025,GET,http://10.0.2.15/images/42.jpeg,403,Forbidden,0,130,40,,false,
Out of Scope,317,Thu Oct 16 17:11:00 CEST 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=nimbus-secure-experiments&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Processed,318,Thu Oct 16 17:11:00 CEST 2025,GET,http://localhost:8888/images/search_img.png,200,OK,26,249,17185,Low,false,
